locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	37025	37439	-	null	Phenylpyruvate tautomerase PptA, 4-oxalocrotonate tautomerase family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	37988	40754	-	null	DNA-binding winged helix-turn-helix (wHTH) domain-containing protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	41670	42525	-	null	NAD(P)H dehydrogenase (quinone)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	42798	43140	+	null	transcriptional regulator, HxlR family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	43270	43609	-	null	Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin- dependent oxidoreductases	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	44867	45848	+	null	AraC-type DNA-binding protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	45847	46585	+	null	Transcriptional regulator containing an amidase domain and an AraC-type DNA-binding HTH domain	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	46571	46778	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	46925	47339	+	null	protein of unknown function (DUF3331)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	47742	48120	+	null	Tautomerase enzyme	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	48284	48983	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	49161	49542	+	null	Predicted periplasmic or secreted lipoprotein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	49745	50327	+	null	protease I	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	50938	51046	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	51187	51778	+	null	Putative intracellular protease/amidase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	51774	52086	+	null	Uncharacterized conserved protein, DUF1330 family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	52093	52246	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	52808	53273	+	null	protein of unknown function (DUF3331)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	53921	56183	+	null	catalase-peroxidase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	56438	57248	+	null	Predicted transcriptional regulators	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	57429	58884	-	null	amidase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	58968	59913	+	null	transcriptional regulator, LysR family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	60084	61488	+	null	succinate semialdehyde dehydrogenase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	61548	62664	+	null	N-ethylmaleimide reductase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	62726	63497	+	null	Pimeloyl-ACP methyl ester carboxylesterase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	63692	64238	-	null	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	64514	64772	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	64958	65171	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	65251	65557	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	65692	66235	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	66259	66358	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	66435	67059	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	67485	68394	-	null	transposase, IS4 family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	68403	68931	-	null	Transposase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	69355	70066	-	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	70243	71071	-	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	71865	72945	-	null	Integrase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	73806	74418	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	74368	74494	-	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	74786	75809	-	null	UDP-galactose 4-epimerase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	75821	76970	-	null	Glycosyltransferase involved in cell wall bisynthesis	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	77023	77857	-	null	Glycosyltransferase involved in cell wall bisynthesis	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	77853	79116	-	null	polysaccharide transporter, PST family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	79376	80771	+	null	phosphomannomutase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	81066	82029	+	null	heptosyltransferase-1	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	82078	82963	+	null	3-deoxy-D-manno-oct-2-ulosonic acid (Kdo) hydroxylase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	83102	84410	+	null	3-deoxy-D-manno-octulosonic-acid transferase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	84446	85100	-	null	urease accessory protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	85111	85792	-	null	urease accessory protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	85778	86405	-	null	urease accessory protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	86407	88114	-	null	urease. Metallo peptidase. MEROPS family M38	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	88169	88475	-	null	urease subunit beta	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	88511	88898	-	null	urease subunit gamma	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	88947	89751	-	null	amino acid ABC transporter substrate-binding protein, PAAT family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	90044	91037	-	null	urease accessory protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	91061	91754	-	null	amino acid/amide ABC transporter ATP-binding protein 2, HAAT family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	91785	92649	-	null	urea transport system ATP-binding protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	92645	93851	-	null	amino acid/amide ABC transporter membrane protein 2, HAAT family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	93852	95508	-	null	amino acid/amide ABC transporter membrane protein 1, HAAT family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	95854	97153	-	null	amino acid/amide ABC transporter substrate- binding protein, HAAT family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	97558	98890	+	null	beta-alanine--pyruvate transaminase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	99027	100347	-	null	Protein of unknown function (DUF3443)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	100373	100859	-	null	Protein of unknown function (DUF2844)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	101174	102011	+	null	non-heme chloroperoxidase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	102084	104040	-	null	autotransporter-associated beta strand repeat- containing protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	104298	105849	-	null	outer membrane protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	105860	106184	-	null	Rhodanese-related sulfurtransferase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	106243	106897	-	null	protein-L-isoaspartate(D-aspartate) O-methyltransferase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	107245	108334	+	null	transcriptional regulator, LacI family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	108337	109825	+	null	monosaccharide ABC transporter ATP-binding protein, CUT2 family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	109805	110819	+	null	monosaccharide ABC transporter membrane protein, CUT2 family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	110893	111856	+	null	monosaccharide ABC transporter substrate-binding protein, CUT2 family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	111924	112974	+	null	Sugar phosphate isomerase/epimerase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	113023	114175	+	null	Predicted dehydrogenase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	114205	114466	-	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	114528	117723	-	null	hydrophobic/amphiphilic exporter-1, HAE1 family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	117738	118962	-	null	RND family efflux transporter, MFP subunit	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	119185	120346	-	null	amino acid/amide ABC transporter substrate- binding protein, HAAT family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	120388	121330	-	null	transcriptional regulator, LysR family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	121558	123238	+	null	sulfite reductase (NADPH) beta subunit	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	123260	123809	+	null	Uncharacterized conserved protein, DUF934 family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	123805	124558	+	null	phosphoadenylylsulfate reductase (thioredoxin)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	124682	125645	+	null	sulfate adenylyltransferase subunit 2	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	125665	126979	+	null	sulfate adenylyltransferase subunit 1	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	127031	127787	+	null	uroporphyrinogen-III C-methyltransferase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	127869	128250	-	null	sirohydrochlorin cobaltochelatase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	128261	129410	-	null	lipopolysaccharide export system permease protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	129413	130511	-	null	lipopolysaccharide export system permease protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	130648	132160	+	null	aminopeptidase A. Metallo peptidase. MEROPS family M17	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	132239	132656	+	null	DNA polymerase III, chi subunit	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	132746	133460	+	null	Protein of unknown function (DUF2486)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	133538	133880	-	null	cytochrome c	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	134035	135709	-	null	dihydroxyacid dehydratase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	135840	136830	+	null	transcriptional regulator, LysR family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	136943	137843	+	null	phosphatidylglycerol:prolipoprotein diacylglycerol transferase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	137931	138660	-	null	Predicted secreted protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	138863	139322	-	null	Predicted RNA-binding protein, contains PUA-like domain	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	139748	140063	-	null	cell division protein ZapA	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	140059	140416	-	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	141006	142932	+	null	vitamin B12 transporter	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	142959	144018	+	null	iron complex transport system permease protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	144014	144854	+	null	iron complex transport system ATP-binding protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	144891	145953	+	null	nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	145999	146785	+	null	cobalamin-5'-phosphate synthase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	146769	147360	+	null	alpha-ribazole phosphatase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	147405	148326	-	null	iron complex transport system substrate-binding protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	148416	149523	-	null	L-threonine O-3-phosphate decarboxylase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	149515	150451	-	null	adenosylcobinamide-phosphate synthase (EC 6.3.1.10)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	150450	151005	-	null	adenosylcobinamide kinase /adenosylcobinamide- phosphate guanylyltransferase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	151094	152609	+	null	adenosylcobyric acid synthase (glutamine- hydrolysing)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	152705	153125	-	null	uncharacterized domain 1-containing protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	153360	153999	+	null	chromosome partitioning protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	154236	154623	-	null	L-aspartate 1-decarboxylase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	154639	155473	-	null	pantothenate synthetase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	155679	156555	-	null	condensin subunit ScpA	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	156572	156758	-	null	Protein of unknown function (DUF3460)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	157218	158979	+	null	autotransporter secretion outer membrane protein TamA	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	159007	163381	+	null	autotransporter secretion inner membrane protein TamB	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	163532	165671	-	null	methionyl-tRNA synthetase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	166065	166719	-	null	Outer membrane protein OmpA	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	167120	168209	+	null	ATP-binding protein involved in chromosome partitioning	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	168339	168873	+	null	superoxide dismutase, Cu-Zn family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	169210	169780	+	null	dCTP deaminase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	169867	172153	+	null	ornithine decarboxylase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	172155	172926	+	null	Protein of unknown function (DUF1311)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	172962	173889	-	null	putative membrane protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	174049	175966	-	null	glucokinase /transcriptional regulator, RpiR family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	175943	176690	-	null	6-phosphogluconolactonase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	176739	178203	-	null	glucose-6-phosphate 1-dehydrogenase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	178753	180001	+	null	carbohydrate ABC transporter substrate-binding protein, CUT1 family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	180244	181183	+	null	carbohydrate ABC transporter membrane protein 1, CUT1 family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	181172	182030	+	null	carbohydrate ABC transporter membrane protein 2, CUT1 family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	182143	183259	+	null	carbohydrate ABC transporter ATP-binding protein, CUT1 family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	183341	184259	-	null	transcriptional regulator, LysR family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	184453	185077	-	null	Uncharacterized membrane protein YeiH	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	185073	185847	-	null	DNA-nicking endonuclease, Smr domain	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	186039	187041	-	null	thioredoxin reductase (NADPH)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	187124	187256	-	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	187395	189711	+	null	DNA translocase FtsK	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	190139	190868	+	null	outer membrane lipoprotein carrier protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	190951	191863	-	null	transcriptional regulator, LysR family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	192056	193046	+	null	agmatinase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	193138	194455	-	null	nucleobase:cation symporter-1, NCS1 family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	194714	196028	+	null	Recombination protein MgsA	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	196091	197387	+	null	seryl-tRNA synthetase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	197906	198692	+	null	methionine aminopeptidase, type I	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	198872	199406	+	null	Acetyltransferases	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	199657	200482	+	null	septum site-determining protein MinC	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	200584	201400	+	null	septum site-determining protein MinD	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	201414	201672	+	null	cell division topological specificity factor MinE	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	201752	203270	-	null	H+/Cl- antiporter ClcA	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	203479	204481	+	null	heptosyltransferase-1	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	205015	205153	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	205198	205378	-	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	205529	206837	-	null	metabolite-proton symporter	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	207245	207785	-	null	protein TonB	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	207972	209379	-	null	argininosuccinate lyase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	209574	210399	-	null	transcriptional regulator, XRE family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	210572	211325	+	null	Ubiquinone/menaquinone biosynthesis C-methylase UbiE	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	211379	214589	-	null	Phosphoenolpyruvate carboxylase, type 1	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	215011	216049	+	null	hydroxymethylbilane synthase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	216048	218067	+	null	uroporphyrinogen III methyltransferase / synthase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	218069	219260	+	null	HemY protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	219459	219777	-	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	219935	220517	+	null	RNA polymerase sigma factor, sigma-70 family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	220529	220838	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	220840	221137	+	null	4Fe-4S dicluster domain-containing protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	221241	221958	+	null	Predicted O-methyltransferase YrrM	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	222018	223635	-	null	drug resistance transporter, EmrB/QacA subfamily	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	223745	224768	-	null	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	225790	226456	-	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	226470	226836	-	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	226891	227569	-	null	Curli biogenesis system outer membrane secretion channel CsgG	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	228188	229508	-	null	D-galactonate transporter	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	229730	230489	-	null	3-oxoacyl-[acyl-carrier protein] reductase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	230540	231980	-	null	aldehyde dehydrogenase (NAD+)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	232257	232785	+	null	inorganic pyrophosphatase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	233106	235215	+	null	Uncharacterized membrane protein YccC	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	235227	235554	-	null	putative endonuclease	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	235563	236733	-	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	236889	238635	+	null	NAD+ synthase (glutamine-hydrolysing)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	238783	239122	+	null	nitrogen regulatory protein P-II family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	239353	240475	-	null	Outer membrane protein (porin)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	241092	241872	-	null	amino acid ABC transporter ATP-binding protein, PAAT family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	241914	242628	-	null	amino acid ABC transporter membrane protein 2, PAAT family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	242624	243314	-	null	amino acid ABC transporter membrane protein 1, PAAT family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	243622	244399	-	null	amino acid ABC transporter substrate-binding protein, PAAT family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	244801	245512	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	245727	246264	-	null	Heavy-metal resistance	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	246484	247210	+	null	two component transcriptional regulator, winged helix family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	247193	248510	+	null	two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	248661	248928	-	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	249041	250727	-	null	diguanylate cyclase (GGDEF) domain-containing protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	250968	251229	+	null	hypothetical protein	null	null
